"","market_id","marketName","marketShortName","timeStamp","n"
"1",1244,"Will Rick Scott be re-elected governor of Florida?","Scott over Crist in Florida?",2020-02-10 04:23:47,1
"2",1249,"Who will be the next mayor of D.C.?","Who will be the next mayor of D.C.?",2020-02-10 04:28:47,3
"3",1254,"How many Senate seats will Republicans control in the next Congress?","How many Senate seats will Republicans control in the next Congress?",2020-02-10 04:33:47,7
"4",1265,"Will Kay Hagan be re-elected to the Senate from North Carolina?","Will Hagan beat Tillis in North Carolina?",2020-02-10 04:44:48,1
"5",1271,"Will Harry Reid be elected Senate Minority Leader in the 114th Congress?","Will Harry Reid survive?",2020-02-10 04:50:47,1
"6",1280,"Who will be confirmed as the next Secretary of Defense?","Who will be the next SecDef?",2020-02-10 04:59:47,6
"7",1285,"Will new federal funds be appropriated for police body cameras this year?","Will the federal government fund body cams?",2020-02-10 05:04:47,1
"8",1456,"What will Obama's Gallup job approval be for June 30-July 2?","Obama's Gallup approval June 30-July 2?",2020-02-10 07:55:47,5
"9",1477,"What will Obama's Gallup job approval be for July 7-9?","Obama's Gallup approval July 7-9?",2020-02-10 08:16:48,5
"10",1478,"What will Obama's Gallup job approval be for July 14-16?","Obama's Gallup approval July 14-16?",2020-02-10 08:17:48,5
"11",1484,"Who will be the first Republican candidate to drop out?","Which Republican will drop out first?",2020-02-10 08:23:48,16
"12",1490,"What will Obama's average job approval be at end of day July 24?","Obama's average approval on July 24?",2020-02-10 08:29:48,5
"13",1491,"What will Obama's Gallup job approval be for July 21-23?","Obama's Gallup approval for July 21-23?",2020-02-10 08:30:48,5
"14",1499,"Will Obama's Gallup approval be 45% or higher for July 28-30?","Obama's Gallup approval 45+ for July 28-30?",2020-02-10 08:38:48,1
"15",1538,"Will Obama's Gallup approval be 45% or higher for August 25-27?","Obama's Gallup approval 45+ for August 25-27?",2020-02-10 11:27:34,1
"16",1575,"What will the average viewership be for the first-tier CNN debate?","How many people will watch the first-tier CNN debate?",2020-02-10 12:04:34,5
"17",1613,"Will Obama's Gallup approval be 45% or higher for October 13 - 15?","Obama's Gallup approval 45+ for October 13-15?",2020-02-10 12:42:34,1
"18",1649,"Which candidate will get the most speaking time at the first-tier Fox Business debate?","Most speaking time at FBN debate?",2020-02-10 13:18:34,8
"19",1650,"What will the average viewership be for the first-tier Fox Business debate?","How many viewers for FBN debate?",2020-02-10 13:19:34,4
"20",1654,"Will FBN moderators ask about the Starbucks holiday cup controversy?","FBN question on Starbucks?",2020-02-10 13:23:35,1
"21",1658,"What will the average viewership be for the CBS debate?","How many viewers for CBS debate?",2020-02-10 13:27:34,5
"22",1664,"Will CBS moderators ask about the University of Missouri?","CBS question on Mizzou?",2020-02-10 13:33:34,1
"23",1704,"Will Obama's Gallup approval be 46% or higher for December 8 - 10?","Obama's Gallup at 46+ 12/8-12/10?",2020-02-10 14:28:53,1
"24",1733,"Which candidate will get the most speaking time at the CNN debate?","Most speaking time at CNN debate?",2020-02-10 15:13:34,9
"25",1734,"What will the average viewership be for the CNN debate?","How many viewers for CNN debate?",2020-02-10 15:14:34,5
"26",1740,"Will Obama's Gallup approval be 45% or higher for December 15 - 17?","Obama's Gallup at 45+ 12/15-12/17?",2020-02-10 15:20:34,1
"27",1749,"Which candidate will get the most speaking time at the ABC debate?","Most speaking time at ABC debate?",2020-02-10 15:29:34,3
"28",1750,"What will the average viewership be for the ABC debate?","How many viewers for ABC debate?",2020-02-10 15:30:34,5
"29",1753,"Will CNN moderators ask about the possible government shutdown?","CNN question on shutdown?",2020-02-10 15:33:34,1
"30",1774,"Will an ABC moderator or candidate utter the phrase ""gun control""?","ABC discussion of ""gun control""?",2020-02-10 15:54:34,1
"31",1806,"How long will the State of the Union be?","Length of SOTU?",2020-02-10 16:26:34,5
"32",1809,"How long will the Republican response to the State of the Union be?","Length of GOP response?",2020-02-10 16:29:34,5
"33",1812,"Which candidate will get the most speaking time at the first-tier Fox Business debate?","Most speaking time at FBN debate?",2020-02-10 16:32:34,7
"34",1815,"Which candidate will get the most speaking time at the NBC debate?","Most speaking time at NBC debate?",2020-02-10 16:35:34,3
"35",1816,"Will a Fox Business debate moderator or candidate use the phrase ""natural born""?","Will FBN debate include ""natural born"" citizenship?",2020-02-10 16:36:34,1
"36",1818,"Will an NBC debate moderator ask Clinton about Iran and John Kerry?","NBC debate question for Clinton on Iran and Kerry?",2020-02-10 16:38:34,1
"37",1820,"Will Obama's Gallup approval be 47% or higher for January 19-21?","Obama's Gallup at 47+ 1/19-1/21?",2020-02-10 16:40:34,1
"38",1830,"Will a CNN town hall moderator, questioner or candidate bring up Palin?","Will CNN town hall mention Palin's Trump endorsement?",2020-02-10 16:50:34,1
"39",1831,"Will a CNN town hall moderator or questioner ask Clinton about ""special access programs""?","CNN question for Clinton on new email revelations?",2020-02-10 16:51:34,1
"40",1832,"Will a CNN town hall moderator, questioner or candidate bring up the Oscars?","Will CNN town hall mention Oscars' racial controversy?",2020-02-10 16:52:34,1
"41",1837,"Which candidate will get the most speaking time at the FNC debate?","Most speaking time at FNC debate?",2020-02-10 16:57:34,8
"42",1840,"Will a Fox News moderator, questioner or candidate bring up Flint, Michigan?","Will FNC debate involve Flint, MI?",2020-02-10 17:00:34,1
"43",1841,"Will a Fox News moderator, questioner or candidate bring up National Review?","Will FNC debate involve National Review?",2020-02-10 17:01:34,1
"44",1842,"Will a Fox News moderator, questioner or candidate bring up Michael Bloomberg?","Will FNC debate involve Mike Bloomberg?",2020-02-10 17:02:34,1
"45",1844,"Will Obama's Gallup approval be 48% or higher for February 2 - 4??","Obama's Gallup at 48+ 2/2-2/4?",2020-02-10 17:04:34,1
"46",1863,"Will an MSNBC moderator or questioner bring up the role of coin tosses in Iowa caucus?","MSNBC question on IA caucus coin tosses?",2020-02-10 17:23:34,1
"47",1865,"Which candidate will get the most speaking time at the MSNBC debate?","Most speaking time at MSNBC debate?",2020-02-10 17:25:34,2
"48",1873,"Which candidate will get the most speaking time at the ABC debate?","Most speaking time at ABC debate?",2020-02-10 17:33:34,8
"49",1879,"Which candidate will get the most speaking time at the PBS debate?","Most speaking time at PBS debate?",2020-02-10 17:39:34,2
"50",1886,"Will a PBS moderator or questioner bring up Gloria Steinem?","PBS question on Gloria Steinem?",2020-02-10 17:46:34,1
"51",1887,"Which candidate will get the most speaking time at the CBS debate?","Most speaking time at CBS debate?",2020-02-10 17:47:34,6
"52",1891,"Will Obama's Gallup approval be 49% or higher for February 16 - 18?","Obama's Gallup at 49+ 2/16-2/18?",2020-02-10 17:51:34,1
"53",1892,"Will a CBS moderator or questioner bring up same-sex marriage?","CBS question on same-sex marriage?",2020-02-10 17:52:34,1
"54",1893,"Will a CBS moderator or questioner bring up push polls?","CBS question on push polls?",2020-02-10 17:53:34,1
"55",1894,"Will a CBS moderator or questioner bring up Kaesong?","CBS question on Kaesong?",2020-02-10 17:54:34,1
"56",1921,"Will the margin of victory in the Nevada Republican caucuses exceed 15 percentage points?","Will the margin of victory in Nevada be more than 15%?",2020-02-10 18:21:34,1
"57",1923,"Which candidate will get the most speaking time at the CNN/Telemundo debate?","Most speaking time at CNN/Telemundo debate?",2020-02-10 18:23:34,5
"58",1924,"Will a CNN/Telemundo debate moderator or questioner bring up Rick Tyler?","CNN/Telemundo question on Rick Tyler?",2020-02-10 18:24:34,1
"59",1940,"Which candidate will get the most speaking time at the Fox News debate?","Most speaking time at Fox News debate?",2020-02-10 18:40:34,4
"60",1959,"Which candidate will get the most speaking time at the CNN/Univision debate?","Most speaking time at CNN/Univision debate?",2020-02-10 18:59:34,4
"61",2039,"Will a CNN moderator ask about ""minimum wage""?","CNN question on minimum wage?",2020-02-10 20:19:34,1
"62",2040,"Will a CNN moderator ask about ""Black Lives Matter""?","CNN question on Black Lives Matter?",2020-02-10 20:20:34,1
"63",2041,"Will a CNN moderator ask about ""Panama Papers""?","CNN question on Panama Papers?",2020-02-10 20:21:34,1
"64",2042,"What will the average viewership be for the CNN debate?","Viewership for CNN debate?",2020-02-10 20:22:34,5
"65",2168,"Will Obama's Gallup approval be 52% or higher for May 31 - June 2?","Obama's Gallup at 52+ 5/31-6/2?",2020-02-10 22:28:34,1
"66",2187,"Will Obama's Gallup approval be 52% or higher for June 7 - 9?","Obama's Gallup at 52+ 6/7-6/9?",2020-02-10 22:47:34,1
"67",2201,"Will Robert Dold be re-elected to the House of Representatives from Illinois' 10th district?","Will Robert Dold be re-elected to Congress?",2020-02-10 23:01:34,1
"68",2206,"Will Obama's Gallup approval be 53% or higher for June 14 - 16?","Obama's Gallup at 53+ 6/14-6/16?",2020-02-10 23:06:34,1
"69",2286,"Which party will win control of the Colorado General Assembly in 2016?","Which party will control of CO General Assembly?",2020-02-11 00:42:01,3
"70",2295,"Which party will win the House of Representatives race in New York's 19th district?","Which party will win NY-19?",2020-02-11 00:51:01,2
"71",2308,"Will Ted Cruz's convention speech mention indictment?","Will Cruz convention speech mention indictment?",2020-02-11 01:04:01,1
"72",2309,"Which party will win the House of Representatives race in New York's 22nd district?","Which party will win NY-22?",2020-02-11 01:05:01,2
"73",2312,"Will the GOP VP nominee mention Supreme Court in acceptance speech?","Will GOP VP acceptance speech include Supreme Court?",2020-02-11 01:08:01,1
"74",2313,"Will the GOP VP nominee mention Black Lives Matter in acceptance speech?","Will GOP VP acceptance speech include Black Lives Matter?",2020-02-11 01:09:01,1
"75",2314,"Will the GOP VP nominee mention Obamacare in acceptance speech?","Will GOP VP acceptance speech include Obamacare?",2020-02-11 01:10:01,1
"76",2317,"What will the average viewership be for the Democratic nominee's acceptance speech?","Viewership for Democratic nominee acceptance speech?",2020-02-11 01:13:01,6
"77",2320,"Will the Democratic nominee mention Black Lives Matter in acceptance speech?","Will Dem nominee acceptance speech include Black Lives Matter?",2020-02-11 01:16:01,1
"78",2321,"Will the Democratic nominee mention Islam in acceptance speech?","Will Dem nominee acceptance speech include Islam?",2020-02-11 01:17:01,1
"79",2322,"Will the Democratic nominee mention Trump University in acceptance speech?","Will Dem nominee acceptance speech include Trump U?",2020-02-11 01:18:01,1
"80",2331,"Will the Democratic National Convention have more viewers on Mon, Tue or Wed?","Will the convention have more viewers on Mon, Tue or Wed?",2020-02-11 01:27:01,3
"81",2343,"Will Clinton's acceptance speech draw more viewers than Trump's?","Will Clinton's ratings top Trump's?",2020-02-11 01:38:16,1
"82",2344,"Will Obama's Gallup approval be 51% or higher for August 2-4?","Obama's Gallup at 51+ 8/2-8/4?",2020-02-11 01:38:23,1
"83",2368,"Will Obama's Gallup approval be 51% or higher for August 9-11?","Obama's Gallup at 51+ 8/9-8/11?",2020-02-11 01:41:11,1
"84",2411,"What will Clinton's monthly fundraising be for August?","What will Clinton's monthly fundraising be for August?",2020-02-11 01:46:12,5
"85",2412,"What will Trump's monthly fundraising be for August?","What will Trump's monthly fundraising be for August?",2020-02-11 01:46:19,5
"86",2413,"What will Stein's monthly fundraising be for August?","What will Stein's monthly fundraising be for August?",2020-02-11 01:46:26,5
"87",2422,"What will the RNC's monthly fundraising be for August?","RNC's monthly fundraising for August?",2020-02-11 01:47:29,5
"88",2423,"What will Trump's monthly expenditures be for August?","Trump's expenditures for August?",2020-02-11 01:47:36,5
"89",2424,"What will Clinton's monthly expenditures be for August?","Clinton's expenditures for August?",2020-02-11 01:47:43,5
"90",2435,"Will Reince Priebus announce resignation as RNC chair by November 30?","Will Priebus resign by November 30?",2020-02-11 01:49:00,1
"91",2448,"Will Trump say ""Crooked Hillary"" in the first debate?","Will Trump say ""Crooked Hillary"" in the first debate?",2020-02-11 01:50:31,1
"92",2452,"Will Obama's Gallup approval be 51% or higher for September 6 - 8?","Obama's Gallup at 51+ 9/6-9/8?",2020-02-11 01:50:59,1
"93",2464,"Will a Hofstra debate moderator ask about Benghazi?","Benghazi at first debate?",2020-02-11 01:52:23,1
"94",2489,"Will a Hofstra debate moderator ask about ""basket of deplorables""?","Basket of deplorables at first debate?",2020-02-11 01:55:18,1
"95",2490,"Will a Hofstra debate moderator ask about ""pneumonia""?","Pneumonia at first debate?",2020-02-11 01:55:25,1
"96",2491,"Will Obama's Gallup approval be 52% or higher for September 20 - 22?","Obama's Gallup at 52+ 9/20-9/22?",2020-02-11 01:55:32,1
"97",2502,"What will the DNC's monthly fundraising be for September?","DNC's monthly fundraising for September?",2020-02-11 01:56:49,5
"98",2504,"What will Trump's monthly fundraising be for September?","What will Trump's monthly fundraising be for September?",2020-02-11 01:57:03,5
"99",2505,"What will Clinton's monthly fundraising be for September?","What will Clinton's monthly fundraising be for September?",2020-02-11 01:57:10,5
"100",2506,"What will Johnson's monthly fundraising be for September?","What will Johnson's monthly fundraising be for September?",2020-02-11 01:57:17,5
"101",2508,"Will a Hofstra debate moderator ask about ""Blind Trust""?","Blind Trust at first debate?",2020-02-11 01:57:31,1
"102",2509,"Will a Hofstra debate moderator ask about ""birther""?","Birther at first debate?",2020-02-11 01:57:38,1
"103",2510,"Will a Hofstra debate moderator ask about ""alt-right""?","Alt-right at first debate?",2020-02-11 01:57:45,1
"104",2513,"Will Obama's Gallup approval be 52% or higher for September 27 - 29?","Obama's Gallup at 52+ 9/27-9/29?",2020-02-11 01:58:06,1
"105",2515,"What will the average viewership be for the Hofstra debate?","Viewership for Hofstra debate?",2020-02-11 01:58:20,6
"106",2523,"Who will get the most speaking time at the Hofstra debate?","Most speaking time at Hofstra debate?",2020-02-11 01:59:16,2
"107",2525,"Will a VP debate moderator ask about ""national debt""?","Moderator asks about ""National debt"" at the debate?",2020-02-11 01:59:30,1
"108",2527,"Will a VP debate moderator ask about ""tax returns""?","Moderator asks about “tax returns” at the debate?",2020-02-11 01:59:44,1
"109",2528,"Will a VP debate moderator ask about ""religious liberty""?","Moderator asks about “religious liberty” at the debate?",2020-02-11 01:59:51,1
"110",2534,"Will a VP debate moderator or candidate mention ""Obamacare""?","""Obamacare"" at VP debate?",2020-02-11 02:00:33,1
"111",2539,"Will a VP debate moderator or candidate mention ""Charlotte""?","""Charlotte"" at VP debate?",2020-02-11 02:01:08,1
"112",2540,"Will a VP debate moderator or candidate mention ""transgender""?","""Transgender"" at VP debate?",2020-02-11 02:01:15,1
"113",2541,"Will a VP debate moderator ask about the “Clinton Foundation”?","Moderator asks about ""Clinton Foundation"" at the debate?",2020-02-11 02:01:22,1
"114",2542,"Will a VP debate moderator ask about the “Trump Foundation”?","Moderator asks about ""Trump Foundation"" at the debate?",2020-02-11 02:01:29,1
"115",2543,"What will the average viewership be for the vice presidential debate?","Viewership for VP debate?",2020-02-11 02:01:36,5
"116",2554,"Who will get the most speaking time at the VP debate?","Most speaking time at VP debate?",2020-02-11 02:02:53,2
"117",2560,"What will the average viewership be for the WUSL debate?","Viewership for WUSL debate?",2020-02-11 02:03:35,6
"118",2561,"Who will win the 2016 Nobel Peace Prize?","Who will win the 2016 Nobel Peace Prize?",2020-02-11 02:03:42,9
"119",2563,"Will a WUSL debate moderator mention “Putin""?","Moderator mentions ""Putin"" at WUSL debate?",2020-02-11 02:03:56,1
"120",2564,"Will a WUSL debate moderator mention “China""?","Moderator mentions ""China"" at WUSL debate?",2020-02-11 02:04:03,1
"121",2565,"Will Clinton use the phrase “You're hired” at the WUSL debate?","Clinton says ""You're hired"" at WUSL debate?",2020-02-11 02:04:10,1
"122",2567,"Will a WUSL debate moderator or candidate mention “Wikileaks""?","""Wikileaks"" at WUSL debate?",2020-02-11 02:04:24,1
"123",2568,"Will a WUSL debate moderator mention “gun control""?","Moderator mentions ""gun control"" at WUSL debate?",2020-02-11 02:04:31,1
"124",2570,"Who will get the most speaking time at the WUSL debate?","Most speaking time at WUSL debate?",2020-02-11 02:04:45,2
"125",2573,"Will a WUSL debate moderator mention “Syria""?","Moderator mentions ""Syria"" at WUSL debate?",2020-02-11 02:05:06,1
